Time (s),Robot 1 Speed (m/s),Robot 2 Speed (m/s),Robot 3 Speed (m/s),Robot 4 Speed (m/s)
4.5,2.1324029747490396,4.059803615600123,6.265433256092755,8.7064153372942
4.6,1.7324382658308912,4.132333043640022,6.4633805331334235,8.55379173039148
4.699999999999999,1.3325522964288314,4.204818394372977,6.659659064417491,8.39596519545151
4.799999999999999,0.9326794794020663,4.311794329242842,6.1335846521044965,7.537739148370176
4.899999999999999,0.5331385358868038,4.419058771357666,5.655793204262464,6.722317302512418
4.999999999999998,0.13574655543272454,4.52633071166538,5.216432199631359,5.941450808446407
5.099999999999998,0.2697525305278553,4.633286926442201,4.793095984819387,5.179078472264727
5.1999999999999975,0.6685441126035268,4.609151111712902,4.433067827139499,4.521259627782571
5.299999999999997,1.0683094323336746,4.58096896861486,4.261987639539774,4.007129762026445
5.399999999999997,1.468149618957279,4.548807911491956,4.092555203559492,3.4819963425816356
5.4999999999999964,1.8680985747454544,4.512664127532962,3.9395301542564294,2.9694156718051135
5.599999999999996,2.2680305916277352,4.472501231888612,3.8089497629852183,2.478670200778788
5.699999999999996,2.668011872536991,4.428152060611962,3.702377850588448,2.0151744349307648
5.799999999999995,3.0679713759066534,4.379362590642272,3.61952447648659,1.5853820360915392
5.899999999999995,3.4679632004758956,4.325625004200488,3.5592708804317614,1.202040317708919
5.999999999999995,3.8679345846953885,4.266204228956004,3.7591982546823957,1.0430955479517077
6.099999999999994,3.9180539506436043,3.841653266531259,3.9592833693683196,0.8937548639367652
6.199999999999994,3.976056786110504,3.427696732945928,4.159369057822713,0.7607044487218392
6.299999999999994,4.053713541443766,3.039264299626575,4.359333125167943,0.6550905758749275
6.399999999999993,4.141969440345203,2.6721129553803498,4.559010199390447,0.5929807405392707
6.499999999999993,4.251007656466251,2.3479401673124367,4.758252476658656,0.5894695063732682
6.5999999999999925,4.3734386168230746,2.0691447794865145,4.956849392320029,0.6465130018159174
6.699999999999992,4.515733817999018,1.867495065384206,4.82213564645702,0.7512422957077602
6.799999999999992,4.674669170443306,1.7625875464557126,4.684359416035803,0.8875827983064867
6.8999999999999915,4.847985204883052,1.7677500779003477,4.544167459118448,1.0437498967088084
6.999999999999991,5.033608362849729,1.8787934998209785,4.402046270012637,1.2125456721241057
7.099999999999991,5.229773462404553,2.076016957722031,4.258383312952483,1.3897415027570676
7.19999999999999,5.435015333843005,2.335253527839433,4.113511553174257,1.5728066189224308
7.29999999999999,5.648109235617686,2.6361080582708163,3.9677448230353733,1.7601666693516775
7.39999999999999,5.868000002443324,2.964006916997859,3.5784224900667394,1.7665756319021297
7.499999999999989,6.093730012013159,3.3092035821698054,3.2113274603163195,1.7884367065985105
7.599999999999989,6.487692248901486,3.5174243660527353,2.3814880889877856,1.8409896644995758
